Time (ms),Pressure (hPa),Temperature (C),Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (deg/s),Gyro Y (deg/s),Gyro Z (deg/s)
890,0.0,0.0,0.36871832609176636,-0.6093429327011108,-9.420273780822754,0.5493331551551819,-0.7324442267417908,0.6103702187538147
893,0.0,0.0,0.36871832609176636,-0.6069486737251282,-9.462173461914062,0.5493331551551819,-0.7934812307357788,0.5493331551551819
896,0.0,0.0,0.35674694180488586,-0.6320885419845581,-9.451399803161621,0.48829615116119385,-0.7324442267417908,0.6103702187538147
901,0.0,0.0,0.3531555235385895,-0.5818087458610535,-9.47294807434082,0.48829615116119385,-0.7324442267417908,0.6103702187538147
904,0.0,0.0,0.36871832609176636,-0.6021600961685181,-9.462173461914062,0.5493331551551819,-0.7324442267417908,0.6714072227478027
907,0.0,0.0,0.3735068738460541,-0.5997658371925354,-9.469356536865234,0.5493331551551819,-0.7934812307357788,0.5493331551551819
909,0.0,0.0,0.3735068738460541,-0.5997658371925354,-9.469356536865234,0.48829615116119385,-0.7324442267417908,0.6103702187538147
911,0.0,0.0,0.3818868398666382,-0.6045543551445007,-9.42506217956543,0.48829615116119385,-0.7324442267417908,0.6103702187538147
916,0.0,0.0,0.42857518792152405,-0.651242733001709,-9.488511085510254,0.5493331551551819,-0.7324442267417908,0.6103702187538147
1016,0.0,0.0,0.3699154555797577,-0.6213143467903137,-9.44182300567627,0.48829615116119385,-0.7324442267417908,0.5493331551551819
1116,0.0,0.0,0.3699154555797577,-0.5973715782165527,-9.458582878112793,0.48829615116119385,-0.7324442267417908,0.6103702187538147
1216,0.0,0.0,0.40942099690437317,-0.6428627967834473,-9.457385063171387,0.5493331551551819,-0.7324442267417908,0.6103702187538147
1316,0.0,0.0,0.3507612645626068,-0.6153286099433899,-9.42147159576416,0.48829615116119385,-0.7324442267417908,0.6103702187538147
1416,0.0,0.0,0.37590113282203674,-0.6069486737251282,-9.449005126953125,0.48829615116119385,-0.6714072227478027,0.6103702187538147
1516,0.0,0.0,0.36512690782546997,-0.65004563331604,-9.446611404418945,0.48829615116119385,-0.7324442267417908,0.6103702187538147
1616,0.0,0.0,0.36512690782546997,-0.6033572554588318,-9.415485382080078,0.48829615116119385,-0.7324442267417908,0.6103702187538147
1716,0.0,0.0,0.398646742105484,-0.6213143467903137,-9.462173461914062,0.48829615116119385,-0.6714072227478027,0.6103702187538147
1816,0.0,0.0,0.35914120078086853,-0.6009629368782043,-9.463371276855469,0.5493331551551819,-0.6714072227478027,0.6103702187538147
1916,0.0,0.0,0.3770982623100281,-0.6201171875,-9.437034606933594,0.48829615116119385,-0.6714072227478027,0.6103702187538147
2016,0.0,0.0,0.35674694180488586,-0.626102864742279,-9.440625190734863,0.48829615116119385,-0.7324442267417908,0.6103702187538147
2116,0.0,0.0,0.3495641052722931,-0.59018874168396,-9.487313270568848,0.48829615116119385,-0.7324442267417908,0.6103702187538147
2216,0.0,0.0,0.3735068738460541,-0.6153286099433899,-9.456188201904297,0.48829615116119385,-0.6714072227478027,0.6103702187538147
2316,0.0,0.0,0.41301238536834717,-0.626102864742279,-9.476539611816406,0.5493331551551819,-0.7324442267417908,0.6103702187538147
