Time (ms),Pressure (hPa),Temperature (C),Accel X (m/s^2),Accel Y (m/s^2),Accel Z (m/s^2),Gyro X (deg/s),Gyro Y (deg/s),Gyro Z (deg/s)
1386,997.921875,25.850000381469727,0.2298503816127777,-0.1735849231481552,10.101445198059082,0.5493331551551819,-0.7324442267417908,2.1973326206207275
1468,997.921875,25.850000381469727,0.16999350488185883,-0.17837347090244293,10.102643013000488,0.5493331551551819,-0.7934812307357788,2.1362955570220947
1549,997.905517578125,25.84000015258789,0.19513338804244995,-0.18316201865673065,10.101445198059082,0.48829615116119385,-0.7324442267417908,2.1973326206207275
1614,997.890625,25.829999923706055,0.17238777875900269,-0.15921926498413086,10.096656799316406,0.48829615116119385,-0.6714072227478027,2.1973326206207275
1695,997.884033203125,25.829999923706055,0.1807677447795868,-0.15443071722984314,10.088275909423828,0.5493331551551819,-0.6714072227478027,2.1973326206207275
1777,997.85400390625,25.829999923706055,0.18435916304588318,-0.1448536217212677,10.071516990661621,0.48829615116119385,-0.7324442267417908,2.1362955570220947
1858,997.83935546875,25.81999969482422,0.20830190181732178,-0.19034484028816223,10.101445198059082,0.5493331551551819,-0.7324442267417908,2.1973326206207275
1939,997.8173828125,25.829999923706055,0.1807677447795868,-0.16640210151672363,10.085882186889648,0.5493331551551819,-0.7934812307357788,2.2583696842193604
2021,997.82373046875,25.809999465942383,0.17597919702529907,-0.14724789559841156,10.079896926879883,0.5493331551551819,-0.7324442267417908,2.1973326206207275
2102,997.800537109375,25.809999465942383,0.20351335406303406,-0.17238777875900269,10.091867446899414,0.48829615116119385,-0.7934812307357788,2.1973326206207275
2183,997.7939453125,25.809999465942383,0.20351335406303406,-0.17597919702529907,10.047574043273926,0.48829615116119385,-0.7324442267417908,2.1362955570220947
2265,997.78125,25.809999465942383,0.17837347090244293,-0.15443071722984314,10.131373405456543,0.5493331551551819,-0.6103702187538147,2.1362955570220947
2346,997.7744140625,25.809999465942383,0.18435916304588318,-0.17957060039043427,10.06074333190918,0.48829615116119385,-0.7324442267417908,2.2583696842193604
2427,997.75537109375,25.809999465942383,0.1652049571275711,-0.15921926498413086,10.075108528137207,0.5493331551551819,-0.7324442267417908,2.1973326206207275
2509,997.741943359375,25.809999465942383,0.18316201865673065,-0.17119064927101135,10.06074333190918,0.5493331551551819,-0.7324442267417908,2.1362955570220947
2574,997.7392578125,25.799999237060547,0.18435916304588318,-0.1652049571275711,10.101445198059082,0.5493331551551819,-0.6714072227478027,2.1973326206207275
2655,997.728271484375,25.809999465942383,0.18196488916873932,-0.14006507396697998,10.072713851928711,0.6103702187538147,-0.7324442267417908,2.1973326206207275
2736,997.737548828125,25.809999465942383,0.1735849231481552,-0.18196488916873932,10.071516990661621,0.48829615116119385,-0.7324442267417908,2.1973326206207275
2818,997.72998046875,25.809999465942383,0.19513338804244995,-0.156824991106987,10.059545516967773,0.5493331551551819,-0.6714072227478027,2.1362955570220947
2899,997.72412109375,25.799999237060547,0.1891477108001709,-0.1616135537624359,10.035602569580078,0.48829615116119385,-0.6714072227478027,2.1973326206207275
2980,997.709228515625,25.799999237060547,0.1975276619195938,-0.1652049571275711,10.139754295349121,0.5493331551551819,-0.7324442267417908,2.1973326206207275
3062,997.726318359375,25.790000915527344,0.1855562925338745,-0.1735849231481552,10.082290649414062,0.5493331551551819,-0.6714072227478027,2.1973326206207275
3143,997.7119140625,25.799999237060547,0.20710477232933044,-0.1687963753938675,10.0739107131958,0.48829615116119385,-0.6714072227478027,2.1973326206207275
3224,997.70703125,25.799999237060547,0.17957060039043427,-0.15083931386470795,10.075108528137207,0.5493331551551819,-0.7934812307357788,2.1973326206207275
3306,997.694580078125,25.799999237060547,0.21428759396076202,-0.1604164093732834,10.06194019317627,0.48829615116119385,-0.6714072227478027,2.1973326206207275
3368,997.693115234375,25.790000915527344,0.20351335406303406,-0.15083931386470795,10.06074333190918,0.5493331551551819,-0.7324442267417908,2.1973326206207275
3449,997.681396484375,25.790000915527344,0.17238777875900269,-0.16999350488185883,10.077502250671387,0.48829615116119385,-0.7324442267417908,2.1973326206207275
3531,997.681884765625,25.790000915527344,0.21069617569446564,-0.1652049571275711,10.087079048156738,0.5493331551551819,-0.7324442267417908,2.1973326206207275
3596,997.678955078125,25.790000915527344,0.19992193579673767,-0.15562786161899567,10.077502250671387,0.48829615116119385,-0.7324442267417908,2.1973326206207275
3677,997.658935546875,25.780000686645508,0.17957060039043427,-0.16999350488185883,10.072713851928711,0.48829615116119385,-0.7324442267417908,2.1973326206207275
3758,997.6572265625,25.790000915527344,0.19154198467731476,-0.1687963753938675,10.052362442016602,0.5493331551551819,-0.7324442267417908,2.1973326206207275
3840,997.642333984375,25.790000915527344,0.19513338804244995,-0.1604164093732834,10.067925453186035,0.48829615116119385,-0.7324442267417908,2.1973326206207275
3921,997.6513671875,25.790000915527344,0.19633053243160248,-0.15443071722984314,10.049967765808105,0.48829615116119385,-0.6714072227478027,2.1973326206207275
4002,997.65869140625,25.790000915527344,0.22027327120304108,-0.1735849231481552,10.037997245788574,0.5493331551551819,-0.6714072227478027,2.1973326206207275
4084,997.65234375,25.790000915527344,0.15802213549613953,-0.1687963753938675,10.069122314453125,0.48829615116119385,-0.7324442267417908,2.1973326206207275
4165,997.662841796875,25.790000915527344,0.20471049845218658,-0.17478205263614655,10.048770904541016,0.5493331551551819,-0.7324442267417908,2.1362955570220947
4246,997.6474609375,25.780000686645508,0.2094990462064743,-0.18196488916873932,10.082290649414062,0.48829615116119385,-0.7324442267417908,2.1973326206207275
4328,997.662841796875,25.790000915527344,0.18675343692302704,-0.17597919702529907,10.06194019317627,0.5493331551551819,-0.7324442267417908,2.1362955570220947
4409,997.639404296875,25.780000686645508,0.19633053243160248,-0.18795056641101837,10.053559303283691,0.48829615116119385,-0.7324442267417908,2.1362955570220947
4490,997.650146484375,25.790000915527344,0.19393625855445862,-0.1735849231481552,10.058348655700684,0.5493331551551819,-0.7324442267417908,2.1973326206207275
4572,997.6494140625,25.780000686645508,0.1735849231481552,-0.16400782763957977,10.04398250579834,0.48829615116119385,-0.7324442267417908,2.1973326206207275
4637,997.657470703125,25.790000915527344,0.17957060039043427,-0.15802213549613953,10.057151794433594,0.48829615116119385,-0.7324442267417908,2.1362955570220947
4718,997.650634765625,25.780000686645508,0.19872480630874634,-0.156824991106987,10.06074333190918,0.5493331551551819,-0.7324442267417908,2.1973326206207275
4800,997.6435546875,25.790000915527344,0.1927391141653061,-0.14365649223327637,10.06074333190918,0.5493331551551819,-0.7324442267417908,2.1973326206207275
4881,997.64599609375,25.790000915527344,0.20351335406303406,-0.16640210151672363,10.083487510681152,0.5493331551551819,-0.7324442267417908,2.2583696842193604
4962,997.662353515625,25.790000915527344,0.17238777875900269,-0.15921926498413086,10.057151794433594,0.48829615116119385,-0.7324442267417908,2.2583696842193604
5043,997.65185546875,25.790000915527344,0.19513338804244995,-0.13527652621269226,10.067925453186035,0.5493331551551819,-0.7324442267417908,2.1973326206207275
5125,997.64306640625,25.790000915527344,0.21907614171504974,-0.15083931386470795,10.030814170837402,0.5493331551551819,-0.7934812307357788,2.1973326206207275
5206,997.65869140625,25.780000686645508,0.20351335406303406,-0.18435916304588318,10.057151794433594,0.48829615116119385,-0.7324442267417908,2.1973326206207275
5287,997.636474609375,25.790000915527344,0.20231622457504272,-0.1484450399875641,10.06313705444336,0.5493331551551819,-0.7324442267417908,2.1973326206207275
5369,997.641845703125,25.780000686645508,0.19872480630874634,-0.15802213549613953,10.052362442016602,0.48829615116119385,-0.7324442267417908,2.1973326206207275
5450,997.6474609375,25.780000686645508,0.1855562925338745,-0.18435916304588318,10.06074333190918,0.48829615116119385,-0.7324442267417908,2.1362955570220947
5531,997.6337890625,25.790000915527344,0.20830190181732178,-0.1687963753938675,10.047574043273926,0.5493331551551819,-0.6714072227478027,2.1973326206207275
5613,997.63232421875,25.780000686645508,0.19633053243160248,-0.15562786161899567,10.053559303283691,0.48829615116119385,-0.7324442267417908,2.1362955570220947
5678,997.650634765625,25.780000686645508,0.1855562925338745,-0.14964216947555542,10.075108528137207,0.5493331551551819,-0.6714072227478027,2.1973326206207275
5759,997.656494140625,25.790000915527344,0.19872480630874634,-0.13886792957782745,10.076305389404297,0.48829615116119385,-0.7324442267417908,2.2583696842193604
5841,997.630859375,25.790000915527344,0.19034484028816223,-0.1616135537624359,10.069122314453125,0.48829615116119385,-0.7324442267417908,2.1973326206207275
5922,997.650146484375,25.780000686645508,0.21668186783790588,-0.19992193579673767,10.041587829589844,0.48829615116119385,-0.7324442267417908,2.1973326206207275
6003,997.658203125,25.780000686645508,0.18316201865673065,-0.1364736557006836,10.06194019317627,0.5493331551551819,-0.7324442267417908,2.1973326206207275
6085,997.67236328125,25.790000915527344,0.20231622457504272,-0.17597919702529907,10.076305389404297,0.5493331551551819,-0.7324442267417908,2.1973326206207275
6166,997.64697265625,25.790000915527344,0.22386468946933746,-0.14605076611042023,10.051164627075195,0.48829615116119385,-0.7324442267417908,2.1973326206207275
6247,997.651611328125,25.790000915527344,0.19992193579673767,-0.1616135537624359,10.06313705444336,0.5493331551551819,-0.7324442267417908,2.1973326206207275
6329,997.648193359375,25.790000915527344,0.18435916304588318,-0.1616135537624359,10.066728591918945,0.5493331551551819,-0.7324442267417908,2.1973326206207275
6410,997.658935546875,25.790000915527344,0.21069617569446564,-0.17597919702529907,10.04637622833252,0.48829615116119385,-0.7934812307357788,2.1973326206207275
6532,997.649658203125,25.790000915527344,0.18196488916873932,-0.1616135537624359,10.084685325622559,0.5493331551551819,-0.7324442267417908,2.1362955570220947
6613,997.65673828125,25.790000915527344,0.19154198467731476,-0.16281068325042725,10.065531730651855,0.48829615116119385,-0.7324442267417908,2.1973326206207275
6735,997.6484375,25.790000915527344,0.19992193579673767,-0.16759923100471497,10.079896926879883,0.5493331551551819,-0.7324442267417908,2.1973326206207275
6842,997.65673828125,25.790000915527344,0.19034484028816223,-0.1604164093732834,10.052362442016602,0.48829615116119385,-0.7324442267417908,2.1973326206207275
6923,997.657470703125,25.790000915527344,0.20710477232933044,-0.17597919702529907,10.054756164550781,0.5493331551551819,-0.7324442267417908,2.1973326206207275
7005,997.643310546875,25.790000915527344,0.19872480630874634,-0.1687963753938675,10.058348655700684,0.5493331551551819,-0.7324442267417908,2.1973326206207275
7127,997.650634765625,25.790000915527344,0.16281068325042725,-0.17119064927101135,10.053559303283691,0.48829615116119385,-0.7324442267417908,2.1362955570220947
7208,997.65478515625,25.790000915527344,0.21428759396076202,-0.15802213549613953,10.058348655700684,0.48829615116119385,-0.7324442267417908,2.1362955570220947
7330,997.64697265625,25.790000915527344,0.18675343692302704,-0.1604164093732834,10.055954933166504,0.48829615116119385,-0.7934812307357788,2.1362955570220947
7411,997.651611328125,25.780000686645508,0.1927391141653061,-0.18795056641101837,10.04637622833252,0.48829615116119385,-0.7324442267417908,2.1973326206207275
7533,997.63623046875,25.780000686645508,0.1891477108001709,-0.1891477108001709,10.06074333190918,0.48829615116119385,-0.7324442267417908,2.1973326206207275
7615,997.645751953125,25.780000686645508,0.19393625855445862,-0.16999350488185883,10.052362442016602,0.5493331551551819,-0.7324442267417908,2.1973326206207275
7737,997.63427734375,25.780000686645508,0.17119064927101135,-0.18196488916873932,10.099051475524902,0.48829615116119385,-0.6714072227478027,2.2583696842193604
7818,997.63330078125,25.780000686645508,0.18675343692302704,-0.19513338804244995,10.079896926879883,0.5493331551551819,-0.7324442267417908,2.1362955570220947
7940,997.6376953125,25.780000686645508,0.17957060039043427,-0.1328822523355484,10.06433391571045,0.48829615116119385,-0.7324442267417908,2.1973326206207275
